Topic,Label
-1,Outlier
0,tobacco | smoking | cigarette | cessation | cigarettes
1,policy | determinants | capacity | practice | systems
2,health literacy | literacy | hl | literacy health | validity
3,activity | physical | school | physical activity | children
4,covid 19 | covid | 19 | media | social media
5,food | school | nutrition | eating | children
6,activity | physical activity | physical | pa | exercise
7,workplace | wellness | employee | workplace health | employees
8,diabetes | type diabetes | management | self management | type
9,vaccine | vaccination | hesitancy | covid | covid 19
10,school | schools | hps | implementation | school health
11,sexual | sex | sexual health | hiv | sti
12,neighborhood | physical | activity | physical activity | walking
13,alcohol | drinking | alcohol use | binge | binge drinking
14,hiv | hiv prevention | prep | black | prevention
15,covid 19 | covid | 19 | pandemic | equity
16,breastfeeding | maternal | pregnancy | birth | mothers
17,covid | covid 19 | students | 19 | pandemic
18,substance use | marijuana | substance | past | age
19,physical activity | activity | physical | active | pa
20,obesity | child | dose | childhood | childhood obesity
21,burnout | stress | compassion | psychological | mental
22,alcohol | women | warning | products | cancer
23,tax | policy | food | ssb | trade
24,weight | behaviors | eating | men | diet
25,asthma | patients | cr | rehabilitation | patient
26,indigenous | aboriginal | torres | torres strait | aboriginal torres
27,sleep | sleep quality | hours | duration | quality
28,advertising | food | unhealthy | marketing | unhealthy food
29,sports | clubs | sport | club | hp
30,ssb | sugar | sweetened | sugar sweetened | water
31,snap | food | nutrition | stores | nutrition assistance
32,cancer | cervical | screening | cervical cancer | cancer screening
33,social media | media | content | instagram | young people
34,faith | church | faith based | churches | pa
35,screening | colorectal | colorectal cancer | cancer | cancer screening
36,physical | pa | physical activity | activity | mvpa
37,cancer | breast | breast cancer | screening | women
38,cbpr | based participatory | participatory | partnerships | partnership
39,sun | protection | indoor | cancer | partner
40,opioid | drug | opioid use | use disorder | harm reduction
41,body | obesity | weight | environment | built
42,soc | salutogenesis | salutogenic | sense | sense coherence
43,refugee | migrants | mental health | mental | oppression
44,food | pricing | healthy | healthy food | recreation
45,violence | campus | sexual | college | dating
46,internet | online | health information | students | information seeking
47,weight | weight loss | loss | obesity | medications
48,coalition | equity | coalitions | power | health equity
49,competencies | health education | specialists | pharmacy | professional
50,gambling | marketing | young people | young | products
51,mental health | mental | young people | young | people
52,children | child | school | empowerment | perspective
53,music | arts | health education | carers | programme
54,incentives | weight loss | financial incentives | weight | financial
55,food | nutrition | cooking | nutrition education | vegetable
56,hpv | vaccine | hpv vaccination | vaccination | papillomavirus
57,hypertension | medication adherence | medication | adherence | sodium
58,zealand | new zealand | aotearoa | indigenous | aotearoa new
59,lgbtq | sexual | minority | gay | sexual minority
60,older | aging | senior | older adults | program
61,oral | oral health | dental | nutrition knowledge | soc
62,campaign | obesity | nutritional | messages | advertisements
63,insecurity | food insecurity | food | college | college students
64,brazilian | brazil | rights | statement | global
65,cancer | survivors | cancer survivors | breast | breast cancer
66,suicide | stigma | suicide prevention | help seeking | mental
67,universities | university | health promoting | promoting | load
68,immigrant | refugee | lay health | lay | family
69,digital | digital health | media | sms | technologies
70,water | informal | harassment | women | ghana
71,men | men health | sheds | engage | peer support
